Date,Open,High,Low,Close,Adj Close,Volume,VIX Close,10-year bond price, nasdaq Close,dow close,r2000 Close
6/15/1990,362.890015,363.140015,360.709991,362.910004,362.910004,205130000,15.9,8.46,467.600006,2935.889893,170.899994
6/18/1990,362.910004,362.910004,356.880005,356.880005,356.880005,133470000,17.709999,8.5,460.799988,2882.179932,168.720001
6/19/1990,356.880005,358.899994,356.179993,358.470001,358.470001,134930000,15.23,8.51,460.5,2893.560059,168.380005
6/20/1990,358.470001,359.910004,357,359.100006,359.100006,137420000,15.27,8.55,460.799988,2895.300049,168.119995
6/21/1990,359.100006,360.880005,357.630005,360.470001,360.470001,138570000,14.72,8.52,461.299988,2901.72998,168.440002
6/22/1990,360.519989,363.200012,355.309998,355.429993,355.429993,172570000,19.360001,8.51,459.299988,2857.179932,168.009995
6/25/1990,355.420013,356.410004,351.910004,352.309998,352.309998,133100000,17.059999,8.58,455.600006,2845.050049,167.130005
6/26/1990,352.320007,356.089996,351.850006,352.059998,352.059998,141420000,16.290001,8.56,455.399994,2842.330078,166.889999
6/27/1990,352.059998,355.890015,351.230011,355.140015,355.140015,146620000,16,8.52,456.899994,2862.129883,167.240005
6/28/1990,355.160004,357.630005,355.160004,357.630005,357.630005,136120000,16.18,8.47,460.399994,2878.709961,168.410004
6/29/1990,357.640015,359.089996,357.299988,358.019989,358.019989,145510000,15.5,8.43,462.299988,2880.689941,169.119995
7/2/1990,358.019989,359.579987,357.540009,359.540009,359.540009,130200000,16.26,8.43,462,2899.26001,169
7/3/1990,359.540009,360.730011,359.440002,360.160004,360.160004,130050000,16.110001,8.4,461.799988,2911.629883,168.940002
7/5/1990,360.160004,360.160004,354.859985,355.679993,355.679993,128320000,17.25,8.42,459.200012,2879.209961,168.020004
7/6/1990,355.690002,359.019989,354.640015,358.420013,358.420013,111730000,16.41,8.51,460.5,2904.949951,168.199997
7/9/1990,358.420013,360.049988,358.109985,359.519989,359.519989,119390000,16.66,8.57,461.700012,2914.110107,168.110001
7/10/1990,359.519989,359.73999,356.410004,356.48999,356.48999,147630000,16.92,8.57,461,2890.840088,167.690002
7/11/1990,356.48999,361.230011,356.48999,361.230011,361.230011,162220000,16.68,8.57,463.899994,2932.669922,168.660004
7/12/1990,361.230011,365.459991,360.570007,365.440002,365.440002,213180000,17.059999,8.5,467.200012,2969.800049,169.429993
7/13/1990,365.450012,369.679993,365.450012,367.309998,367.309998,215600000,17.09,8.45,468.399994,2980.199951,170.039993
7/16/1990,367.309998,369.779999,367.309998,368.950012,368.950012,149430000,16.75,8.44,469.600006,2999.75,169.970001
7/17/1990,368.950012,369.399994,364.98999,367.519989,367.519989,176790000,16.66,8.44,464.5,2999.75,168.889999
7/18/1990,367.519989,367.519989,362.950012,364.220001,364.220001,168760000,18.9,8.5,460.799988,2981.679932,167.860001
7/19/1990,364.220001,365.320007,361.290009,365.320007,365.320007,161990000,18.559999,8.51,458.200012,2993.810059,167.020004
7/20/1990,365.320007,366.640015,361.579987,361.609985,361.609985,177810000,15.63,8.48,455.299988,2961.139893,166.820007
7/23/1990,361.609985,361.609985,350.089996,355.309998,355.309998,209030000,23.68,8.48,444.600006,2904.699951,162.869995
7/24/1990,355.309998,356.089996,351.459991,355.790009,355.790009,181920000,21.790001,8.53,442.600006,2922.52002,163.240005
7/25/1990,355.790009,357.519989,354.799988,357.089996,357.089996,163530000,20.190001,8.49,445.5,2930.939941,163.690002
7/26/1990,357.089996,357.470001,353.950012,355.910004,355.910004,155040000,20.26,8.49,445.399994,2920.790039,164.080002
7/27/1990,355.899994,355.940002,352.140015,353.440002,353.440002,149070000,21.120001,8.42,442.600006,2898.51001,163.169998
7/30/1990,353.440002,355.549988,351.149994,355.549988,355.549988,146470000,21.16,8.34,439.399994,2917.330078,161.949997
7/31/1990,355.549988,357.540009,353.910004,356.149994,356.149994,175380000,21.110001,8.36,438.200012,2905.199951,161.509995
8/1/1990,356.149994,357.350006,353.820007,355.519989,355.519989,178260000,21.639999,8.29,435.899994,2899.26001,160.759995
8/2/1990,355.519989,355.519989,349.730011,351.480011,351.480011,253090000,20.43,8.41,428.899994,2864.600098,158.580002
8/3/1990,351.480011,351.480011,338.200012,344.859985,344.859985,295880000,28.74,8.43,417.5,2809.649902,154.350006
8/6/1990,344.859985,344.859985,333.269989,334.429993,334.429993,240400000,35.91,8.71,400,2716.340088,149.009995
8/7/1990,334.429993,338.630005,332.220001,334.829987,334.829987,231580000,32.75,8.78,402.100006,2710.639893,149.199997
8/8/1990,334.829987,339.209991,334.829987,338.350006,338.350006,190400000,28.27,8.77,407.700012,2734.899902,151.119995
8/9/1990,338.350006,340.559998,337.559998,339.940002,339.940002,155810000,24.389999,8.66,413,2758.909912,152.539993
8/10/1990,339.899994,339.899994,334.220001,335.519989,335.519989,145340000,25.75,8.68,408,2716.580078,150.839996
8/13/1990,335.390015,338.880005,332.019989,338.839996,338.839996,122820000,25.74,8.71,408.299988,2746.780029,150.119995
8/14/1990,338.839996,340.959991,337.190002,339.390015,339.390015,130320000,24.18,8.66,410.299988,2747.77002,151.139999
8/15/1990,339.390015,341.920013,339.380005,340.059998,340.059998,136710000,23.309999,8.64,411.5,2748.27002,151.300003
8/16/1990,340.059998,340.059998,332.390015,332.390015,332.390015,138850000,27.16,8.76,402.299988,2681.439941,148.470001
8/17/1990,332.359985,332.359985,324.630005,327.829987,327.829987,212560000,27.530001,8.8,393.5,2644.800049,145.639999
8/20/1990,327.829987,329.899994,327.070007,328.51001,328.51001,129630000,26.459999,8.81,388.600006,2656.439941,144.160004
8/21/1990,328.51001,328.51001,318.779999,321.859985,321.859985,194630000,28.9,8.84,379.700012,2603.959961,140.779999
8/22/1990,321.859985,324.149994,316.549988,316.549988,316.549988,175550000,30.549999,8.91,374.799988,2560.149902,139
8/23/1990,316.549988,316.549988,306.559998,307.059998,307.059998,250440000,36.470001,9,360.200012,2483.419922,132.919998
8/24/1990,307.059998,311.649994,306.179993,311.51001,311.51001,199040000,33.93,9.05,367.299988,2532.919922,134.220001
8/27/1990,311.549988,323.109985,311.549988,321.440002,321.440002,160150000,29.629999,8.9,381.299988,2611.629883,138.669998
8/28/1990,321.440002,322.200012,320.25,321.339996,321.339996,127660000,29.120001,8.94,382.899994,2614.850098,139.570007
8/29/1990,321.339996,325.829987,320.869995,324.190002,324.190002,134240000,27.379999,8.84,381.799988,2632.429932,140.050003
8/30/1990,324.190002,324.570007,317.820007,318.709991,318.709991,120890000,29.889999,8.86,378.700012,2593.320068,139.320007
8/31/1990,318.709991,322.570007,316.589996,322.559998,322.559998,96480000,29.9,8.86,381.200012,2614.360107,139.509995
9/4/1990,322.559998,323.089996,319.109985,323.089996,323.089996,92940000,29.58,8.9,381.700012,2613.370117,139.110001
9/5/1990,323.089996,324.519989,320.98999,324.390015,324.390015,120610000,28.52,8.86,382.399994,2628.219971,140.020004
9/6/1990,324.390015,324.390015,319.369995,320.459991,320.459991,125620000,30.190001,8.84,378.799988,2596.290039,139.339996
9/7/1990,320.459991,324.179993,319.709991,323.399994,323.399994,123800000,28.73,8.81,380.399994,2619.550049,140.110001
